id,date,warehouse,client_type,product_line,quantity,unit_price,total,payment
1,2021-06-01,Central,Retail,Miscellaneous,8,16.85,134.83,Credit card
2,2021-06-01,North,Retail,Breaking system,9,19.29,173.61,Cash
3,2021-06-01,North,Retail,Suspension & traction,8,32.93,263.45,Credit card
4,2021-06-01,North,Wholesale,Frame & body,16,37.84,605.44,Transfer
5,2021-06-01,Central,Retail,Engine,2,60.48,120.96,Credit card
6,2021-06-01,North,Wholesale,Suspension & traction,40,37.37,1494.8,Transfer
7,2021-06-01,West,Retail,Electrical system,2,27.2,54.41,Credit card
8,2021-06-01,Central,Retail,Breaking system,10,22.44,224.38,Credit card
9,2021-06-01,West,Wholesale,Frame & body,40,39.5,1579.87,Transfer
10,2021-06-01,North,Retail,Frame & body,6,45.44,272.61,Credit card
11,2021-06-01,Central,Retail,Frame & body,6,38.2,229.22,Credit card
12,2021-06-01,Central,Retail,Suspension & traction,6,37.45,224.71,Credit card
13,2021-06-02,Central,Retail,Suspension & traction,6,28.67,172.01,Credit card
14,2021-06-02,Central,Retail,Breaking system,9,15.1,135.92,Credit card
15,2021-06-02,Central,Retail,Electrical system,10,22.37,223.68,Credit card
16,2021-06-02,West,Retail,Breaking system,2,24.97,49.94,Credit card
17,2021-06-02,North,Retail,Frame & body,1,40.41,40.41,Credit card
18,2021-06-02,North,Retail,Miscellaneous,6,20.28,121.66,Credit card
19,2021-06-02,Central,Retail,Frame & body,6,40.77,244.63,Credit card
20,2021-06-02,West,Retail,Frame & body,8,38.61,308.89,Credit card
21,2021-06-03,North,Retail,Electrical system,9,20.5,184.54,Credit card
22,2021-06-03,North,Retail,Suspension & traction,5,36.18,180.91,Credit card
23,2021-06-03,North,Retail,Electrical system,5,28.33,141.67,Credit card
24,2021-06-03,Central,Retail,Suspension & traction,6,35.52,213.15,Credit card
25,2021-06-03,Central,Retail,Electrical system,1,29.31,29.31,Cash
26,2021-06-03,Central,Retail,Frame & body,1,48.9,48.9,Credit card
27,2021-06-03,West,Retail,Electrical system,2,20.19,40.37,Credit card
28,2021-06-03,Central,Retail,Electrical system,8,27,216,Credit card
29,2021-06-04,North,Retail,Suspension & traction,10,30.92,309.23,Credit card
30,2021-06-04,Central,Retail,Breaking system,4,19.78,79.14,Credit card
31,2021-06-04,Central,Retail,Frame & body,3,41.07,123.21,Credit card
32,2021-06-04,North,Retail,Electrical system,5,20.16,100.81,Credit card
33,2021-06-04,Central,Retail,Suspension & traction,1,37.03,37.03,Credit card
34,2021-06-04,West,Retail,Electrical system,9,27.78,249.98,Credit card
35,2021-06-05,Central,Retail,Breaking system,3,21.01,63.03,Credit card
36,2021-06-05,West,Retail,Breaking system,6,12.9,77.38,Cash
37,2021-06-05,North,Wholesale,Electrical system,28,29.12,815.22,Transfer
38,2021-06-05,Central,Retail,Miscellaneous,1,25.2,25.2,Credit card
39,2021-06-05,Central,Retail,Breaking system,1,20.66,20.66,Credit card
40,2021-06-05,North,Retail,Electrical system,7,32.31,226.19,Credit card
41,2021-06-05,North,Wholesale,Suspension & traction,16,36.79,588.64,Transfer
42,2021-06-05,North,Retail,Suspension & traction,5,32.15,160.76,Credit card
43,2021-06-05,Central,Wholesale,Breaking system,4,13.65,54.6,Transfer
44,2021-06-05,Central,Retail,Suspension & traction,9,30.9,278.07,Credit card
45,2021-06-05,North,Retail,Suspension & traction,4,35.44,141.77,Credit card
46,2021-06-05,West,Retail,Engine,7,63.15,442.04,Credit card
47,2021-06-06,North,Wholesale,Suspension & traction,32,34.82,1114.13,Transfer
48,2021-06-06,Central,Retail,Suspension & traction,4,35.36,141.46,Credit card
49,2021-06-06,Central,Wholesale,Engine,36,63.41,2282.82,Transfer
50,2021-06-06,West,Retail,Miscellaneous,10,28.25,282.47,Credit card
51,2021-06-06,North,Retail,Frame & body,1,35.89,35.89,Credit card
52,2021-06-06,North,Retail,Breaking system,5,15.16,75.78,Credit card
53,2021-06-06,Central,Retail,Breaking system,4,21.95,87.79,Credit card
54,2021-06-06,North,Retail,Breaking system,7,15.43,108,Credit card
55,2021-06-06,North,Retail,Frame & body,4,44.1,176.39,Credit card
56,2021-06-07,Central,Wholesale,Frame & body,4,44.69,178.75,Transfer
57,2021-06-07,West,Retail,Miscellaneous,3,17.87,53.61,Cash
58,2021-06-07,North,Retail,Frame & body,9,43.49,391.42,Credit card
59,2021-06-07,Central,Retail,Miscellaneous,4,28.19,112.76,Credit card
60,2021-06-07,Central,Retail,Breaking system,7,16.33,114.3,Credit card
61,2021-06-07,Central,Wholesale,Suspension & traction,40,28.64,1145.47,Transfer
62,2021-06-07,Central,Retail,Breaking system,6,24.6,147.61,Credit card
63,2021-06-07,North,Retail,Suspension & traction,9,28.59,257.31,Credit card
64,2021-06-07,North,Retail,Electrical system,4,29.62,118.48,Credit card
65,2021-06-08,North,Retail,Frame & body,5,39.52,197.62,Cash
66,2021-06-08,West,Retail,Breaking system,1,10.46,10.46,Credit card
67,2021-06-08,Central,Retail,Breaking system,10,19.21,192.05,Cash
68,2021-06-08,Central,Wholesale,Frame & body,8,44.14,353.11,Transfer
69,2021-06-08,Central,Retail,Miscellaneous,8,24.76,198.05,Credit card
70,2021-06-08,Central,Wholesale,Breaking system,40,20.77,830.67,Transfer
71,2021-06-08,West,Retail,Breaking system,9,13.62,122.6,Credit card
72,2021-06-08,West,Retail,Suspension & traction,4,32.56,130.25,Credit card
73,2021-06-08,North,Retail,Electrical system,4,25.04,100.15,Credit card
74,2021-06-08,Central,Wholesale,Miscellaneous,40,18.87,754.73,Transfer
75,2021-06-08,Central,Retail,Suspension & traction,2,33.18,66.37,Credit card
76,2021-06-08,West,Wholesale,Suspension & traction,12,34.26,411.14,Transfer
77,2021-06-08,West,Wholesale,Miscellaneous,12,17.39,208.62,Transfer
78,2021-06-08,North,Retail,Electrical system,3,29.93,89.8,Credit card
79,2021-06-08,North,Retail,Frame & body,2,35.46,70.92,Credit card
80,2021-06-08,Central,Retail,Frame & body,3,41.42,124.25,Credit card
81,2021-06-08,West,Wholesale,Breaking system,36,20.48,737.28,Transfer
82,2021-06-08,West,Wholesale,Breaking system,28,16.98,475.49,Transfer
83,2021-06-09,Central,Wholesale,Breaking system,36,16.51,594.24,Transfer
84,2021-06-09,West,Retail,Frame & body,10,49.24,492.4,Credit card
85,2021-06-09,Central,Retail,Frame & body,8,35.31,282.47,Credit card
86,2021-06-09,Central,Retail,Breaking system,6,16.55,99.32,Credit card
87,2021-06-09,North,Retail,Breaking system,5,14.76,73.78,Credit card
88,2021-06-09,West,Retail,Electrical system,7,32.73,229.1,Cash
89,2021-06-09,Central,Retail,Suspension & traction,10,27.63,276.33,Credit card
90,2021-06-09,Central,Wholesale,Suspension & traction,12,28.65,343.8,Transfer
91,2021-06-10,Central,Retail,Electrical system,4,18.96,75.85,Credit card
92,2021-06-10,Central,Retail,Frame & body,8,47.3,378.37,Credit card
93,2021-06-10,North,Retail,Engine,2,56.04,112.09,Credit card
94,2021-06-10,Central,Retail,Electrical system,5,29.13,145.66,Credit card
95,2021-06-10,West,Wholesale,Miscellaneous,36,21.75,782.94,Transfer
96,2021-06-10,West,Retail,Frame & body,7,47.19,330.33,Credit card
97,2021-06-10,North,Retail,Suspension & traction,6,38.06,228.38,Cash
98,2021-06-10,Central,Retail,Breaking system,7,21.64,151.5,Credit card
99,2021-06-10,North,Wholesale,Frame & body,28,37,1035.91,Transfer
100,2021-06-11,North,Retail,Miscellaneous,9,17.49,157.41,Cash
101,2021-06-11,North,Retail,Breaking system,1,23.28,23.28,Credit card
102,2021-06-11,Central,Wholesale,Breaking system,28,14.46,404.93,Transfer
103,2021-06-11,North,Retail,Breaking system,5,10.63,53.16,Credit card
104,2021-06-11,North,Retail,Suspension & traction,6,41.09,246.52,Credit card
105,2021-06-11,North,Wholesale,Miscellaneous,24,21.42,514,Transfer
106,2021-06-11,North,Retail,Frame & body,4,47.06,188.22,Credit card
107,2021-06-11,West,Retail,Frame & body,2,47.86,95.72,Credit card
